PC1,PC2,PC3,Class,Original_Label
25.740463,-5.20658,32.12125,Click,1
-14.71051,68.32727,-4.8675466,Click,1
49.64532,0.47897148,0.6376133,Click,1
36.371494,14.382434,-20.920132,Click,1
46.946457,0.27242017,-5.656449,Click,1
41.091133,-1.1837784,19.265759,Click,1
10.076706,1.7634819,2.1319008,Click,1
29.392908,-23.671831,13.40015,Click,1
17.647886,-1.4503728,33.005928,Click,1
51.991356,-5.5842724,7.0653496,Click,1
24.259212,7.4900017,-18.833551,Click,1
26.73032,-16.878872,15.161005,Click,1
42.321896,13.67343,17.4389,Click,1
52.52706,4.8803043,5.3913846,Click,1
-34.087303,-51.07866,49.59572,Click,1
-104.9792,-11.921132,3.2917967,Click,1
32.34079,-24.071047,8.295629,Click,1
-9.538742,2.0381567,-17.004608,Click,1
1.7620888,-1.4099053,-1.6463298,Click,1
32.79993,-26.314466,13.740897,Click,1
8.985968,-11.854804,34.73197,Click,1
34.79456,13.884675,1.1260812,Click,1
25.24563,-31.163042,5.9516735,Click,1
-1.0818176,33.424026,27.255714,Click,1
18.260706,-22.208624,-23.239714,Click,1
30.754557,-28.516525,-1.3975878,Click,1
13.001474,28.338837,-11.884331,Click,1
44.027172,16.95833,-3.8808234,Click,1
32.2722,-4.037338,8.980923,Click,1
6.2705345,8.411026,-20.56757,Click,1
35.21078,2.8054302,-4.9312925,Click,1
38.07579,-28.173239,15.99765,Click,1
-56.11547,41.502007,-42.50029,Click,1
38.37039,-22.550219,13.752894,Click,1
34.22145,9.12685,11.986109,Click,1
26.618023,-13.103563,-23.316353,Click,1
29.330564,-13.127722,-3.8758078,Click,1
25.058788,-16.750908,-7.5484147,Click,1
21.325588,0.38338256,34.916462,Click,1
4.0594807,12.324787,5.480822,Click,1
22.337566,21.714182,17.738518,Click,1
15.469072,-7.3492107,1.6129315,Click,1
40.683647,-15.697536,-7.742148,Click,1
29.471844,-31.526262,-2.2310815,Click,1
-1.673008,-4.7343187,5.349158,Click,1
34.925697,18.017284,6.861738,Click,1
28.007818,-34.317226,9.232994,Click,1
31.246204,-7.1852846,-36.88616,Click,1
14.404219,26.105194,-13.378963,Click,1
49.2368,6.769533,15.080988,Click,1
29.12514,11.74453,27.293362,Click,1
-4.652603,1.2316616,-0.552043,Click,1
26.319355,-10.202309,-1.0564345,Click,1
36.833687,-21.865166,-10.5181265,Click,1
-75.80847,-37.80788,-20.885292,Click,1
14.362736,-12.3773775,-10.74481,Click,1
14.029865,14.146182,-26.238733,Click,1
33.444008,18.989336,14.7311325,Click,1
26.781229,-1.9242289,12.712479,Click,1
-41.28971,65.33495,-24.026611,Click,1
43.731945,24.031263,5.9489017,Click,1
15.357786,30.022676,-13.162277,Click,1
26.610188,-10.470835,2.4783936,Click,1
