UMAP1,UMAP2,UMAP3,Class,Original_Label
-1.8933253,-0.5184454,5.870491,Click,1
-1.4062386,-0.72840655,8.888338,Click,1
2.4835382,7.006006,-1.5487038,Click,1
-1.7826095,-3.1803493,5.6271257,Click,1
-1.4595362,-2.6641538,5.6340895,Click,1
-1.8492333,-3.3733754,5.272544,Click,1
-1.8084819,-0.8176402,7.0000525,Click,1
-1.4106222,-1.8375176,6.469894,Click,1
-2.521082,-1.5593624,7.6227922,Click,1
-1.7021719,-0.9622009,8.990597,Click,1
-2.0053582,-1.6990825,7.6331096,Click,1
-1.4863057,-1.2566712,8.464471,Click,1
-2.5828588,-1.8361238,7.482291,Click,1
-1.3978267,-1.9291632,6.367017,Click,1
-2.1880822,-0.29589933,6.4644876,Click,1
-1.4498644,-0.8290238,5.953334,Click,1
-2.6050777,-1.9163585,7.6462646,Click,1
-2.5070841,-1.9645007,7.759704,Click,1
-2.3244295,-2.7678123,3.8543775,Click,1
-2.9197073,-2.1376696,6.7504005,Click,1
-1.578678,-1.642305,8.148335,Click,1
-2.2376018,-1.0820369,7.2013016,Click,1
-1.7990255,-1.6343799,5.8998194,Click,1
-1.9916875,-1.3549597,8.142425,Click,1
-2.2774534,-2.818835,3.9268878,Click,1
-2.4110227,-1.5109767,7.818354,Click,1
-2.6593654,-1.4573007,7.42891,Click,1
-2.2363985,-0.22074768,6.46318,Click,1
-1.9436607,-0.6100122,5.0867596,Click,1
1.6477244,2.3926234,4.082031,Click,1
-2.5006285,-1.5761473,7.5756164,Click,1
-1.9223814,-2.9403434,4.566693,Click,1
-2.5914588,-1.1549227,6.983995,Click,1
-1.4688274,-0.7770886,6.8543515,Click,1
-1.9848083,-2.1843157,6.9149733,Click,1
-1.9597692,-0.44855344,5.225345,Click,1
-1.100407,-0.8992311,6.6827903,Click,1
-2.398849,-2.2465053,7.4904284,Click,1
-2.1360054,-1.8271142,7.5808425,Click,1
-1.6474963,-1.3529966,5.68435,Click,1
-1.4188296,-2.5839999,6.632364,Click,1
-2.6039228,-1.799288,7.460885,Click,1
-1.8864249,-0.8178151,7.3144298,Click,1
-1.9402685,-0.8382209,7.771729,Click,1
-1.4835525,-0.7347813,9.638335,Click,1
-1.6026213,-0.79911107,9.255738,Click,1
-1.384926,-0.32126373,9.349597,Click,1
-1.9590617,-0.7955682,7.577317,Click,1
-1.9666979,-1.1157855,7.6453295,Click,1
-1.0298693,-0.09639743,10.320495,Click,1
-0.94405794,-0.027749464,10.583864,Click,1
-1.0106356,-0.069389425,10.464684,Click,1
-1.2363873,-1.1729586,6.3077183,Click,1
-2.4578452,-1.132764,6.95489,Click,1
-1.4536897,-1.6960117,7.674884,Click,1
-1.3955007,-1.7333595,7.739685,Click,1
-1.3664297,-1.4782727,7.543474,Click,1
-1.5300276,-1.7718577,7.8729277,Click,1
-1.3733543,-1.9194833,6.548458,Click,1
-2.3181734,-2.536711,6.7968836,Click,1
2.2982821,6.777334,-1.7071394,Click,1
-1.8026326,-2.7858047,6.2583528,Click,1
-2.373665,-1.1553172,6.962442,Click,1
-1.3982548,-1.8764917,6.493435,Click,1
-2.0937319,-1.8419943,5.2298603,Click,1
-1.3454099,-1.6192657,8.453811,Click,1
-1.7292674,-1.7571745,7.865867,Click,1
2.0341322,2.2190752,3.9131792,Click,1
-2.241724,-2.111653,7.6784115,Click,1
2.1706805,2.275707,3.7541156,Click,1
-1.4098686,-2.635021,6.7179646,Click,1
-2.2464106,-1.5109421,7.4155025,Click,1
-1.337315,-1.8785076,6.639357,Click,1
-1.7347246,-1.6427495,6.287788,Click,1
1.6867372,2.3276746,4.1181417,Click,1
2.4209788,6.9502935,-1.6221901,Click,1
-0.9307998,3.7615933,2.5681646,Click,1
-1.5805042,3.0476308,3.8805418,Click,1
-2.0450304,-0.45642522,6.6816926,Click,1
-1.183782,3.6413882,2.959064,Click,1
-2.619776,-1.9433546,6.995533,Click,1
-1.2706164,3.6131983,3.138652,Click,1
2.3127935,6.799385,-1.695787,Click,1
-2.3239756,-2.5128255,6.406856,Click,1
-1.8926327,-3.022319,5.077259,Click,1
-3.3865747,-1.677973,2.0886548,Click,1
-1.9925784,-3.1833622,5.9997253,Click,1
-1.8291073,4.694818,3.3983817,Click,1
-2.2875504,-1.1452675,5.5483255,Click,1
-1.898676,-3.1030514,4.649571,Click,1
-2.3241613,-1.1978811,5.476752,Click,1
-2.4677308,-2.374835,5.324004,Click,1
-1.4864136,-0.7524266,6.6794143,Click,1
